"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2023 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2023 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
7099,,010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,0.20151,,0.25997,,0.00000,,0.00000,,0.00000,,0.9802564842,
520,,010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,0.17141,,0.17204,,92.23297,,0.00000,,92.23297,,1.0177687929,
1886,,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,0.19029,,0.18445,,62.63053,,25.08758,,62.63053,,1.0098740536,
5795,,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20284,,18.76358,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",18.76358,,0.9816149907,
5711,,010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,0.18396,,0.20244,,19.71773,,0.00000,,19.71773,,0.9817692112,
1853,,010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18428,,63.03605,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",63.03605,,1.0101380828,
1960,,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,0.19753,,0.18478,,61.84336,,42.84240,,61.84336,,1.0093442611,
7099,,015009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,0.17998,,0.21306,,0.00000,,0.00000,,0.00000,,0.9802564842,
2491,,015010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,0.20981,,0.18767,,54.94964,,51.87131,,54.94964,,1.0038085791,
1089,,015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,0.23225,,0.18252,,67.23430,,76.03308,,76.03308,,1.0156807316,
