"CMS Certification Number (CCN)","State","Percent of residents who are up-to-date on their vaccines","Percent of staff who are up-to-date on their vaccines","Date vaccination data last updated"
"015009","AL","7.3","2.5","01/19/2025"
"015010","AL","14.5","1.1","01/19/2025"
"015012","AL","30.0","0.0","01/19/2025"
"015014","AL","Not Available","Not Available","01/19/2025"
"015015","AL","57.0","0.0","01/19/2025"
"015016","AL","Not Available","Not Available","01/19/2025"
"015019","AL","49.4","Not Available","01/19/2025"
"015023","AL","61.4","0.0","01/19/2025"
"015024","AL","13.4","0.0","01/19/2025"
"015027","AL","Not Available","Not Available","01/19/2025"
"015028","AL","9.2","0.0","01/19/2025"
"015031","AL","22.6","0.2","01/19/2025"
"015032","AL","47.4","1.4","01/19/2025"
"015034","AL","Not Available","Not Available","01/19/2025"
"015035","AL","43.0","0.0","01/19/2025"
"015040","AL","32.2","0.0","01/19/2025"
"015042","AL","Not Available","Not Available","01/19/2025"
"015044","AL","0.0","3.8","01/19/2025"
"015045","AL","87.0","2.1","01/19/2025"
"015047","AL","Not Available","Not Available","01/19/2025"
"015048","AL","55.1","2.2","01/19/2025"
"015049","AL","11.7","0.0","01/19/2025"
"015050","AL","0.0","0.0","01/19/2025"
"015053","AL","38.2","2.5","01/19/2025"
"015060","AL","0.0","82.9","01/19/2025"
"015063","AL","Not Available","0.0","01/19/2025"
"015065","AL","Not Available","Not Available","01/19/2025"
"015066","AL","0.0","0.0","01/19/2025"
"015067","AL","34.9","0.0","01/19/2025"
"015071","AL","35.3","0.0","01/19/2025"
"015073","AL","68.7","11.3","01/19/2025"
"015075","AL","15.7","0.0","01/19/2025"
"015076","AL","13.9","0.2","01/19/2025"
"015083","AL","18.7","0.0","01/19/2025"
"015084","AL","22.1","0.0","01/19/2025"
"015089","AL","67.9","12.4","01/19/2025"
"015091","AL","62.3","1.2","01/19/2025"
"015097","AL","Not Available","Not Available","01/19/2025"
"015098","AL","63.4","0.0","01/19/2025"
"015100","AL","59.9","1.0","01/19/2025"
"015101","AL","40.0","3.1","01/19/2025"
"015103","AL","38.3","27.2","01/19/2025"
"015104","AL","44.4","1.2","01/19/2025"
"015109","AL","Not Available","Not Available","01/19/2025"
"015111","AL","49.6","1.7","01/19/2025"
"015112","AL","2.4","2.1","01/19/2025"
"015113","AL","60.9","1.1","01/19/2025"
"015114","AL","69.2","6.7","01/19/2025"
"015115","AL","Not Available","Not Available","01/19/2025"
"015116","AL","Not Available","Not Available","01/19/2025"
"015117","AL","Not Available","Not Available","01/19/2025"
"015119","AL","43.1","Not Available","01/19/2025"
