"State","5 Stars","4 Stars","3 Stars","2 Stars","1 Star"
AK,0.000-18.333,18.334-36.667,36.668-75.833,75.834-102.667,>102.667
AL,0.000-6.000,6.001-14.667,14.668-23.333,23.334-38.000,>38.000
AR,0.000-28.667,28.668-49.333,49.334-64.667,64.668-84.667,>84.667
AZ,0.000-11.333,11.334-22.667,22.668-35.000,35.001-59.667,>59.667
CA,0.000-36.667,36.668-67.000,67.001-100.000,100.001-158.250,>158.250
CO,0.000-21.333,21.334-42.000,42.001-65.333,65.334-103.500,>103.500
CT,0.000-19.333,19.334-34.000,34.001-52.000,52.001-76.667,>76.667
DC,0.000-30.667,30.668-80.333,80.334-136.000,136.001-212.333,>212.333
DE,0.000-20.000,20.001-47.333,47.334-75.333,75.334-103.333,>103.333
FL,0.000-9.333,9.334-25.333,25.334-43.333,43.334-82.000,>82.000
GA,0.000-6.667,6.668-20.667,20.668-38.000,38.001-74.167,>74.167
GU,0.000-13.333,13.334-34.667,34.668-61.333,61.334-116.000,>116.000
HI,0.000-34.667,34.668-52.000,52.001-80.667,80.668-118.333,>118.333
IA,0.000-7.000,7.001-20.667,20.668-51.333,51.334-106.917,>106.917
ID,0.000-19.933,19.934-40.000,40.001-59.333,59.334-89.333,>89.333
IL,0.000-29.333,29.334-60.667,60.668-111.500,111.501-202.667,>202.667
IN,0.000-11.333,11.334-25.333,25.334-42.667,42.668-75.833,>75.833
KS,0.000-26.000,26.001-42.667,42.668-65.333,65.334-123.167,>123.167
KY,0.000-7.333,7.334-17.333,17.334-32.000,32.001-82.500,>82.500
LA,0.000-16.000,16.001-34.667,34.668-56.333,56.334-114.667,>114.667
MA,0.000-17.333,17.334-41.333,41.334-64.000,64.001-120.833,>120.833
MD,0.000-30.000,30.001-57.333,57.334-87.333,87.334-140.667,>140.667
ME,0.000-16.000,16.001-40.000,40.001-52.000,52.001-74.500,>74.500
MI,0.000-26.667,26.668-50.667,50.668-85.500,85.501-140.500,>140.500
MN,0.000-11.333,11.334-28.000,28.001-49.333,49.334-82.833,>82.833
MO,0.000-24.000,24.001-50.667,50.668-81.333,81.334-154.333,>154.333
MS,0.000-9.333,9.334-21.333,21.334-32.667,32.668-58.333,>58.333
MT,0.000-18.000,18.001-46.667,46.668-56.000,56.001-104.000,>104.000
NC,0.000-6.667,6.668-24.667,24.668-52.667,52.668-118.333,>118.333
ND,0.000-12.800,12.801-25.333,25.334-37.333,37.334-79.667,>79.667
NE,0.000-12.667,12.668-26.000,26.001-41.333,41.334-68.667,>68.667
NH,0.000-6.000,6.001-14.000,14.001-23.333,23.334-40.500,>40.500
NJ,0.000-11.333,11.334-24.667,24.668-41.333,41.334-72.000,>72.000
NM,0.000-58.667,58.668-101.000,101.001-138.000,138.001-224.333,>224.333
NV,0.000-22.667,22.668-40.667,40.668-59.333,59.334-98.667,>98.667
NY,0.000-10.667,10.668-20.667,20.668-32.000,32.001-50.000,>50.000
OH,0.000-15.333,15.334-40.000,40.001-65.667,65.668-112.000,>112.000
OK,0.000-15.333,15.334-35.333,35.334-58.667,58.668-90.667,>90.667
OR,0.000-28.667,28.668-57.333,57.334-84.667,84.668-136.167,>136.167
PA,0.000-7.333,7.334-28.667,28.668-59.667,59.668-116.500,>116.500
PR,0.000-32.000,32.001-66.667,66.668-124.000,124.001-174.333,>174.333
RI,0.000-17.333,17.334-57.333,57.334-96.000,96.001-175.833,>175.833
SC,0.000-8.000,8.001-22.000,22.001-39.000,39.001-75.500,>75.500
SD,0.000-10.000,10.001-20.000,20.001-37.333,37.334-73.583,>73.583
TN,0.000-8.000,8.001-18.667,18.668-35.333,35.334-93.667,>93.667
TX,0.000-20.667,20.668-42.667,42.668-73.667,73.668-144.667,>144.667
UT,0.000-8.000,8.001-30.000,30.001-46.667,46.668-101.333,>101.333
VA,0.000-18.667,18.668-38.000,38.001-67.333,67.334-116.000,>116.000
VT,0.000-12.000,12.001-35.333,35.334-52.333,52.334-136.000,>136.000
WA,0.000-45.333,45.334-81.333,81.334-118.667,118.668-181.333,>181.333
WI,0.000-9.333,9.334-27.333,27.334-49.667,49.668-124.167,>124.167
WV,0.000-40.000,40.001-67.333,67.334-95.333,95.334-155.667,>155.667
WY,0.000-20.000,20.001-28.000,28.001-48.667,48.668-87.333,>87.333
