"State or Nation","Cycle 1 Total Number of Health Deficiencies","Cycle 1 Total Number of Fire Safety Deficiencies","Cycle 2 Total Number of Health Deficiencies","Cycle 2 Total Number of Fire Safety Deficiencies","Cycle 3 Total Number of Health Deficiencies","Cycle 3 Total Number of Fire Safety Deficiencies","Average Number of Residents per Day","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Registered Nurse turnover","Number of administrators who have left the nursing home","Nursing Case-Mix Index","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day","Number of Fines","Fine Amount in Dollars","Percentage of long stay residents whose need for help with daily activities has increased","Percentage of long stay residents who lose too much weight","Percentage of long stay residents with a catheter inserted and left in their bladder","Percentage of long stay residents with a urinary tract infection","Percentage of long stay residents who have depressive symptoms","Percentage of long stay residents who were physically restrained","Percentage of long stay residents experiencing one or more falls with major injury","Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of long stay residents who received an antipsychotic medication","Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine","Percentage of short stay residents who newly received an antipsychotic medication","Percentage of long stay residents whose ability to walk independently worsened","Percentage of long stay residents who received an antianxiety or hypnotic medication","Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine","Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine","Percentage of long stay residents with pressure ulcers","Percentage of long stay residents with new or worsened bowel or bladder incontinence","Percentage of short stay residents who were rehospitalized after a nursing home admission","Percentage of short stay residents who had an outpatient emergency department visit","Number of hospitalizations per 1000 long-stay resident days","Number of outpatient emergency department visits per 1000 long-stay resident days","Processing Date"
NATION,9.6,4.8,9.3,4.5,8.6,4.2,83.4,2.31,0.87,0.66509,1.53,3.84840,3.38287,0.46,0.07,48.4,45.1,0.6,1.36215,0.66137,3.82684,3.36392,1.6,37974,17.724114,5.755553,1.311644,1.939073,9.330890,0.136942,3.311481,93.272601,14.648242,81.424709,1.662771,22.551465,19.937752,95.047720,77.726751,5.628876,21.188360,24.529101,12.633732,1.817655,1.734025,2025-01-01
AK,7.2,3.6,8.5,7.4,9.2,7.3,37.4,4.32,0.75,2.12619,2.87,7.19548,6.27087,1.61,0.06,47.8,44.2,0.4,1.32307,0.64601,3.73797,3.28580,1.3,24198,15.869034,6.252243,1.632427,2.716667,4.576256,0.039578,4.214677,96.522386,18.194126,87.784612,0.598956,25.358913,17.304181,97.738543,73.958134,6.350391,23.313321,17.206898,13.966542,1.141361,1.610583,2025-01-01
AL,3.5,3.4,2.8,3.3,3.8,3.2,96.1,2.48,0.79,0.61377,1.41,3.88389,3.24771,0.34,0.03,48.5,40.1,0.5,1.22740,0.59930,3.46770,3.04823,0.7,13411,15.652642,6.104767,1.654725,3.033729,0.945794,0.633170,3.325993,92.540486,20.361314,83.287988,2.005462,20.589584,24.581245,94.956805,79.582126,6.344209,13.861508,25.503304,12.477707,1.871353,1.733036,2025-01-01
AR,7.8,2.2,8.1,2.0,8.9,2.0,75.7,2.68,0.97,0.39911,1.36,4.04469,3.43455,0.28,0.03,51.9,47.0,0.6,1.21720,0.59432,3.43888,3.02289,0.7,9848,13.358794,5.398011,1.094259,1.601459,1.596055,0.084731,3.851290,94.084691,11.022923,79.538011,1.369199,17.692332,22.142264,95.100869,72.354162,5.648883,16.834927,25.898016,14.478004,2.024973,2.089646,2025-01-01
AZ,5.9,1.3,7.4,2.8,7.8,3.1,80.8,2.36,1.04,0.73061,1.77,4.13506,3.64457,0.52,0.11,48.2,46.6,0.5,1.41500,0.69090,3.99772,3.51413,0.5,7467,13.961698,5.599747,1.324951,1.511333,4.457275,0.248381,2.052071,97.164027,10.996186,91.661526,0.890513,22.086798,20.706979,94.318083,86.485100,5.889332,22.260461,25.546358,11.367953,1.736157,1.419265,2025-01-01
CA,16.6,7.2,17.0,7.4,14.7,6.9,86.2,2.60,1.22,0.59709,1.82,4.42399,4.00367,0.46,0.09,40.7,41.4,0.6,1.48641,0.72577,4.19946,3.69147,1.9,28160,12.983022,4.732641,1.333972,1.400901,6.302265,0.309748,1.668581,98.408590,10.972514,94.262090,1.466784,16.242211,13.605358,98.267582,92.625685,5.165603,12.456048,23.817663,11.407308,2.162804,1.498088,2025-01-01
CO,8.7,7.1,7.7,6.3,7.6,5.9,70.7,2.18,0.68,0.82041,1.50,3.68392,3.24495,0.60,0.08,53.6,50.8,0.7,1.29668,0.63313,3.66342,3.22027,2.4,36042,18.278346,5.945321,1.058665,1.524310,5.256301,0.056029,3.345821,91.149487,18.443865,76.488265,1.509386,21.279761,11.213320,94.563693,72.807102,4.206238,24.026762,19.820926,13.220668,1.363853,1.708946,2025-01-01
CT,11.0,4.8,8.5,3.0,8.5,2.2,100.0,2.23,0.84,0.69785,1.53,3.76828,3.36457,0.47,0.08,39.2,40.0,0.5,1.31860,0.64383,3.72535,3.27471,1.4,26909,20.578421,6.757955,0.965275,1.745328,10.637319,0.020292,3.596078,87.625214,17.167451,67.338945,1.506941,23.702319,17.198857,93.066174,65.170391,4.876079,25.263486,26.609970,11.525817,1.994150,1.472873,2025-01-01
DC,16.7,2.0,21.3,2.4,15.2,2.4,118.8,2.59,0.70,1.52848,2.23,4.82429,4.24924,1.22,0.10,32.8,31.7,0.6,1.40460,0.68582,3.96833,3.48829,2.7,139919,21.740447,5.038942,1.541970,2.053783,2.785569,0.709540,0.981002,92.163601,5.503168,68.863488,1.119618,25.964452,12.055255,97.605760,73.270474,8.704677,21.717458,22.863155,6.743599,1.068724,0.603015,2025-01-01
DE,10.8,1.4,11.3,1.0,13.5,1.0,88.0,2.43,1.00,1.01033,2.01,4.44096,3.96144,0.70,0.10,46.2,43.7,0.6,1.34001,0.65428,3.78585,3.32789,1.1,54548,18.139998,6.500668,0.855866,2.050293,5.090455,0.207842,2.700411,93.259435,10.595757,79.794320,1.174795,25.543256,19.844004,96.226049,81.155271,4.087181,23.262085,23.008701,10.605114,1.772973,1.278544,2025-01-01
